Disease,Symptom_0,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,null,null,null,null,null,null,null
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,null,null,null,null,null,null,null
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,null,null,null,null,null,null,null
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,null,null,null,null,null,null,null
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, muscle_weakness, irritability, abnormal_menstruation,null,null,null,null,null,null,null
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,null,null,null,null,null,null
Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating, diarrhoea, fast_heart_rate, excessive_hunger, muscle_weakness, irritability, abnormal_menstruation,null,null,null,null,null,null,null
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,null,null,null,null,null,null
Hypoglycemia, vomiting, fatigue, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,null,null,null,null,null,null
Hypoglycemia, vomiting, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,null,null,null,null,null,null
Hypoglycemia, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,null,null,null,null,null,null
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,null,null,null,null,null
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, blurred_and_distorted_vision, excessive_hunger, slurred_speech, irritability, palpitations,null,null,null,null,null,null
Hypoglycemia, vomiting, fatigue, anxiety, sweating, headache, nausea, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,null,null,null,null,null,null
Hypoglycemia, vomiting, fatigue, anxiety, sweating, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,null,null,null,null,null,null
Hypoglycemia, vomiting, fatigue, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger, drying_and_tingling_lips, slurred_speech, irritability, palpitations,null,null,null,null,null,null
Hypothyroidism, fatigue, cold_hands_and_feet, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremities, depression, irritability, abnormal_menstruation,null,null,null,null,null
Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremities, depression, irritability, abnormal_menstruation,null,null,null,null,null
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feet, mood_swings, lethargy, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremities, depression, irritability, abnormal_menstruation,null,null,null,null,null
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feet, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremities, depression, irritability, abnormal_menstruation,null,null,null,null,null
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feet, mood_swings, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremities, depression, irritability, abnormal_menstruation,null,null,null,null,null
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feet, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremities, depression, irritability, abnormal_menstruation,null,null,null,null
Hypothyroidism, weight_gain, cold_hands_and_feet, mood_swings, lethargy, dizziness, puffy_face_and_eyes, enlarged_thyroid, brittle_nails, swollen_extremities, depression, irritability, abnormal_menstruation,null,null,null,null,null
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feet, mood_swings, lethargy, dizziness, enlarged_thyroid, brittle_nails, swollen_extremities, depression, irritability, abnormal_menstruation,null,null,null,null,null
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,null,null,null,null,null,null,null,null,null,null,null,null
Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,null,null,null,null,null,null,null,null,null,null,null,null,null
Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze,null,null,null,null,null,null,null,null,null,null,null,null,null
Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze,null,null,null,null,null,null,null,null,null,null,null,null,null
Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze,null,null,null,null,null,null,null,null,null,null,null,null,null
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose,null,null,null,null,null,null,null,null,null,null,null,null,null
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,null,null,null,null,null,null,null,null,null,null
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,null,null,null,null,null,null,null,null,null,null
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,null,null,null,null,null,null,null,null,null,null
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,null,null,null,null,null,null,null,null,null,null
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,null,null,null,null,null,null,null,null,null,null
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,null,null,null,null,null,null,null,null,null
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,null,null,null,null,null,null,null,null,null,null
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,null,null,null,null,null,null,null,null,null,null
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,null,null,null,null,null,null,null,null,null,null
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,null,null,null,null,null,null,null,null,null,null
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,null,null,null,null,null,null,null,null,null
Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,null,null,null,null,null,null,null,null,null,null
Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,null,null,null,null,null,null,null,null,null,null
Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,null,null,null,null,null,null,null,null,null,null
Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,null,null,null,null,null,null,null,null,null,null
Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,null,null,null,null,null,null,null,null,null,null
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,null,null,null,null,null,null,null,null,null,null
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,null,null,null,null,null,null,null,null,null
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,null,null,null,null,null,null,null,null,null
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,null,null,null,null,null,null,null,null,null
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,null,null,null,null,null,null,null,null,null
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,null,null,null,null,null,null,null,null
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,null,null,null,null,null,null,null,null,null
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,null,null,null,null,null,null,null,null,null
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,null,null,null,null,null,null,null,null,null
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,null,null,null,null,null,null,null,null,null
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,null,null,null,null,null,null,null,null,null
Osteoarthritis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,null,null,null,null,null,null,null,null,null,null,null
Osteoarthritis, neck_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null
Osteoarthritis, joint_pain, knee_pain, hip_joint_pain, swelling_joints, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null
Osteoarthritis, joint_pain, neck_pain, hip_joint_pain, swelling_joints, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null
Osteoarthritis, joint_pain, neck_pain, knee_pain, swelling_joints, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null
Osteoarthritis, joint_pain, neck_pain, knee_pain, hip_joint_pain, painful_walking,null,null,null,null,null,null,null,null,null,null,null,null
Osteoarthritis, joint_pain, neck_pain, knee_pain, hip_joint_pain, swelling_joints,null,null,null,null,null,null,null,null,null,null,null,null
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,null,null,null,null,null,null,null,null,null,null,null,null,null
Paroxysmal Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,null,null,null,null,null,null,null,null,null,null,null
Paroxysmal Positional Vertigo, vomiting, headache, nausea, spinning_movements, loss_of_balance,null,null,null,null,null,null,null,null,null,null,null,null
Paroxysmal Positional Vertigo, vomiting, headache, nausea, spinning_movements, unsteadiness,null,null,null,null,null,null,null,null,null,null,null,null
Paroxysmal Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance, unsteadiness,null,null,null,null,null,null,null,null,null,null,null,null
Paroxysmal Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness,null,null,null,null,null,null,null,null,null,null,null,null
Paroxysmal Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance, unsteadiness,null,null,null,null,null,null,null,null,null,null,null,null
Paroxysmal Positional Vertigo, vomiting, headache, nausea, loss_of_balance, unsteadiness,null,null,null,null,null,null,null,null,null,null,null,null
Peptic ulcer disease, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,null,null,null,null,null,null,null,null,null,null,null
Peptic ulcer disease, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,null,null,null,null,null,null,null,null,null,null,null,null
Peptic ulcer disease, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,null,null,null,null,null,null,null,null,null,null,null,null
Peptic ulcer disease, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,null,null,null,null,null,null,null,null,null,null,null,null
Peptic ulcer disease, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,null,null,null,null,null,null,null,null,null,null,null,null
Peptic ulcer disease, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,null,null,null,null,null,null,null,null,null,null,null,null
Peptic ulcer disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,null,null,null,null,null,null,null,null,null,null,null,null
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,null,null,null,null,null,null,null
Pneumonia, chills, fatigue, cough, high_fever, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,null,null,null,null,null,null,null
Pneumonia, chills, fatigue, cough, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,null,null,null,null,null,null,null
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, phlegm, chest_pain, fast_heart_rate, rusty_sputum,null,null,null,null,null,null,null
Pneumonia, chills, fatigue, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,null,null,null,null,null,null,null
Pneumonia, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,null,null,null,null,null,null,null
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,null,null,null,null,null,null
Pneumonia, chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum,null,null,null,null,null,null,null
Pneumonia, chills, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum,null,null,null,null,null,null,null
Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails,null,null,null,null,null,null,null,null,null,null,null,null
Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,null,null,null,null,null,null,null,null,null,null,null,null
Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,null,null,null,null,null,null,null,null,null,null,null,null
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,null,null,null,null,null,null,null,null,null,null,null
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails,null,null,null,null,null,null,null,null,null,null,null,null
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails,null,null,null,null,null,null,null,null,null,null,null,null
Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails,null,null,null,null,null,null,null,null,null,null,null,null
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,null
Tuberculosis, chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,null,null
Tuberculosis, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,null,null
Tuberculosis, chills, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,null,null
Tuberculosis, chills, vomiting, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,null,null
Tuberculosis, chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,null,null
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,null,null
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, high_fever, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,null,null
Tuberculosis, chills, vomiting, fatigue, weight_loss, cough, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum,null,null
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhus),null,null,null,null,null,null,null
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain,null,null,null,null,null,null,null
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhus), belly_pain,null,null,null,null,null,null,null
Typhoid, chills, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhus), belly_pain,null,null,null,null,null,null,null
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhus), belly_pain,null,null,null,null,null,null,null
Typhoid, chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhus), belly_pain,null,null,null,null,null,null,null
Typhoid, chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhus), belly_pain,null,null,null,null,null,null,null
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhus), belly_pain,null,null,null,null,null,null
Typhoid, chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhus), belly_pain,null,null,null,null,null,null,null
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,null,null,null,null,null,null,null,null,null,null,null,null,null
Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Varicose veins, fatigue, cramps, bruising, obesity, swollen_blood_vessels, prominent_veins_on_calf,null,null,null,null,null,null,null,null,null,null,null
Varicose veins, fatigue, cramps, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,null,null,null,null,null,null,null,null,null,null,null
Varicose veins, fatigue, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,null,null,null,null,null,null,null,null,null,null,null
Varicose veins, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,null,null,null,null,null,null,null,null,null,null,null
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,null,null,null,null,null,null,null,null,null,null
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf,null,null,null,null,null,null,null,null,null,null,null
Varicose veins, fatigue, cramps, bruising, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf,null,null,null,null,null,null,null,null,null,null,null
Varicose veins, fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels,null,null,null,null,null,null,null,null,null,null,null
